X	Y	Cat
-1.6679563584	-24.1461569993	European
-9.21866388517	-1.66187083659	European
14.6546834392	-21.3445177567	European
-5.53606529145	-7.22442326823	European
19.7854919904	5.77737810919	European
-1.96769174565	-14.9606342914	European
17.806040555	-15.4032898099	European
-12.2446296223	7.34034219444	European
3.62538237267	1.50755723994	European
11.3346467342	-7.58425994752	European
21.6009806005	4.4188696282	European
5.35965761865	-21.5239999002	European
5.42964050776	-21.5004096736	European
-6.16664565702	-3.04794631162	European
19.316241969	-8.48093829651	European
14.7185252221	-11.194494891	European
-6.76092173742	-0.902580011561	European
19.7274534142	-5.2486114174	European
9.84111527504	-15.5806707527	European
9.97245730491	-17.1693862226	European
-10.6306945998	-6.61740290558	European
11.2906849983	-7.61067513765	European
16.310031823	-13.6560389219	European
9.45678978981	-14.3489480181	European
-5.43936400568	1.18322023948	European
10.2412894896	-16.0159166884	European
-9.98172869029	3.30137471935	European
13.8499418978	7.33688590972	European
-12.6732797365	17.6912915711	Latin American
-4.88078465635	13.1180093811	Latin American
-8.0226188431	15.4135392664	Latin American
-8.18368248331	-1.47685040579	Latin American
-7.00812423562	14.8680080068	Latin American
-6.73616400146	18.5164158492	Latin American
-5.19945959087	15.3748640746	Latin American
5.40944039622	14.8762650024	Latin American
-6.79255156773	15.0858784492	Latin American
18.2973597339	7.23678832644	Latin American
-8.38720730666	13.2517484069	Latin American
-10.7685654647	12.4499851368	Latin American
-11.9140172802	2.09540412927	U.S. Recipes
-12.2457933777	17.1306214795	Latin American
-8.83161975783	7.76679884301	Latin American
-7.45545847839	4.6965230572	Latin American
-12.6714229557	15.4617007526	Latin American
11.678573829	-8.87172490173	Latin American
-13.8369025417	10.775719073	Latin American
-4.89927421842	13.4390655841	Latin American
-3.69910161103	11.2254415355	Latin American
-8.37055490193	5.99940531161	U.S. Recipes
5.21339475736	12.0170899942	U.S. Recipes
-4.05912723763	10.7056647607	U.S. Recipes
-6.93840099341	13.8320234491	U.S. Recipes
14.2963814055	-2.26915817699	U.S. Recipes
-0.246679132819	-2.92766761358	U.S. Recipes
-12.7924469406	10.5014920159	U.S. Recipes
7.21524933417	15.1093768473	U.S. Recipes
-4.82856299498	14.1888825601	U.S. Recipes
-8.02349325446	8.18574942615	U.S. Recipes
-7.99132596205	8.19552878907	U.S. Recipes
-3.82490514996	10.4194823153	U.S. Recipes
14.2023972965	-10.6893703527	U.S. Recipes
-8.7074244307	19.0089119366	U.S. Recipes
-8.54236624943	6.54544195142	U.S. Recipes
-2.82114586827	13.1435141382	U.S. Recipes
-9.23591311386	11.0769302531	U.S. Recipes
-0.512007941316	6.42994459564	U.S. Recipes
-16.0742384576	4.40818031534	U.S. Recipes
-4.16644186346	14.6102234554	U.S. Recipes
-1.68919687587	11.2374042792	U.S. Recipes
22.3829825917	8.67946881227	U.S. Recipes
-10.7131299923	-11.9731388443	Asian
-21.3321483246	-14.1021918653	European
9.77666783191	11.3692707194	Asian
-1.14289595373	-16.9320973193	Asian
1.97489254352	1.11901889562	Asian
-5.13595679071	-10.8461007206	Asian
-1.87268831985	3.42104353752	Asian
-15.336232238	-12.8196420527	Asian
-9.45645638027	-2.75704811862	Asian
-4.45452952859	-1.86766166061	Latin American
-8.27029243007	1.88764952065	Asian
-16.5621937258	-13.4528783939	Asian
9.35007077584	15.2156216616	Asian
-9.39849223944	-2.3789864046	Asian
-17.5598938434	4.39477814008	Asian
-18.2611555037	11.4955840626	Asian
10.859677295	-0.793464233983	Asian
-5.50890332638	-21.4737467042	Asian
-6.39766516132	-21.8065248798	Asian
8.4362695817	16.427729287	Asian
-9.52053634766	-1.51328374834	Asian
-19.3075173597	-13.4435862127	Asian
-5.83779979888	15.7265379853	Latin American
5.14343117425	5.91802820255	European
9.59267645337	3.61768306388	Asian
-17.6137203518	-2.14054067802	Asian
13.6384659433	-4.44706029879	Asian
-16.1403565689	-3.03809129135	Asian
6.09451654657	8.78026339967	Asian
8.04569081648	12.164530405	Asian
19.8848874606	5.89784294942	Asian
21.1318744431	1.63446657706	Asian
-13.3880352632	-6.91331584566	Asian
-8.08794857854	-4.69795922576	Asian
-17.6860310165	-4.8320821187	Asian
-17.9424719435	-14.2527102353	Asian
-12.7928581669	-11.3877211376	Asian
-16.0239556986	-14.0804502454	Asian
-12.7272117807	-13.3652889167	Asian
-13.6838072005	-6.86633454503	Asian
-9.75701788737	11.9887961564	Asian
10.8576602916	-2.03556193443	Asian
14.5183553861	-21.2845480415	Asian
21.7091166296	-2.98100625561	Asian
4.37286903677	-15.3185482997	Asian
23.6338185339	-11.7285099173	Asian
-2.33188592751	5.44078234512	Asian
-10.9130080206	-9.48713068659	Asian
-16.3582956289	-7.18531570505	European
-16.1333089426	7.17379064325	European
2.18160282133	-14.7351778921	European
1.403400684	-15.1977068295	European
2.24128584677	-10.5893866954	European
18.3734129622	13.0066071653	European
0.412157697351	-12.3119864988	European
2.6665625814	-13.2405724591	European
6.96557438609	-15.8689981206	Asian
7.73804425745	-12.6858833148	Asian
21.860146965	-5.71811797124	Asian
11.6724313265	-9.97705489188	Asian
4.50032876311	-15.7271674627	Asian
5.03209254441	-15.8074728576	Asian
21.4107782191	-4.49867545315	Asian
-18.0732334713	5.83118931717	European
1.89493961451	-6.46108466806	European
-19.3215334342	6.73208599394	European
1.74327420691	-6.81286238618	European
-19.1841628861	6.63801329351	European
17.3368911861	9.13435404118	European
20.8136285217	8.52293738316	European
-1.48681314211	1.16654615499	European
-2.52625937949	17.7975306086	Asian
21.8928210241	8.91765459458	European
17.1137460738	7.51086761743	European
-10.5355296998	-4.20938660761	European
16.722700988	5.6011847635	European
21.6481700702	9.28432596795	European
18.2150138324	5.90932797552	European
-0.0186723480282	-13.970794385	European
-3.15847605291	17.9530674178	Asian
19.4442837467	4.77437579492	European
9.81121069997	3.90743482448	Asian
7.81345943348	-0.571613285749	Asian
10.2826840443	2.60935264739	Asian
6.2667964611	14.2243270025	Asian
-12.1313940993	1.15170288485	European
5.21603708994	1.73207816041	European
14.1988171909	5.9202024495	European
6.64265833378	-4.73434376273	European
-0.0433120259238	-7.54410564259	European
3.0747320523	-5.30807601459	European
-6.07020513361	-7.24886697941	European
4.9962490212	-4.74831822339	European
5.47845200101	-5.16907844369	European
-19.4983730045	-7.79111082612	Asian
-19.5033283263	-7.77122055214	Asian
-5.07621710361	15.2564244036	Asian
-3.86064340181	-4.46631505145	European
-10.7250699274	-17.0565878931	Asian
-10.8331584548	-17.6532763157	Asian
-10.9371540163	-17.9611221351	Asian
-20.476366171	-5.06510664067	Asian
-17.8482777074	12.1192132917	Asian
-8.53700742982	10.1198842087	Asian
-20.5922464938	-5.21968610343	Asian
-20.0449082162	-4.47633569772	Asian
-12.3285614859	-14.6047108265	Asian
-15.2867409304	13.0030870143	Asian
13.9437878762	-4.12578156137	Asian
-1.19094351545	18.3609139066	Asian
8.54471468997	-1.25569316264	Asian
-7.77669128301	-9.50776580705	U.S. Recipes
9.78443598619	-10.0517948397	U.S. Recipes
-9.89087327086	0.244729229198	U.S. Recipes
7.76593693027	-2.04176799265	U.S. Recipes
19.6694628791	9.632000951	U.S. Recipes
-7.7720488845	-9.56638725062	U.S. Recipes
7.88074220281	-4.18946299462	U.S. Recipes
12.2076885632	11.7446180656	U.S. Recipes
1.38849826019	-6.77182005025	U.S. Recipes
6.61820127595	4.98977311489	U.S. Recipes
-10.7260865346	0.310339625224	U.S. Recipes
2.59313909154	-8.72041138228	U.S. Recipes
-0.632966210516	1.70110846477	European
3.01702077452	-4.39701218377	European
-19.793095904	-11.3848581925	Asian
21.8035465637	14.6302919371	European
-15.2086518216	-5.91761818142	Asian
-17.1398187841	-4.39550640244	Asian
-14.46816397	-16.7844665997	Asian
-15.4520542131	-0.910437398366	Asian
-14.7718081779	-6.82968511527	Asian
-14.0781002982	-5.77737570082	Asian
-16.7744422673	-4.26882215656	Asian
-15.424307901	-1.60927630209	Asian
-14.2487029291	-4.26437159435	Asian
-16.9292871426	-12.8495852855	Asian
12.0958318616	5.09582607523	Asian
-20.541200098	-12.1386035423	Asian
-20.6281477107	-12.2870984979	Asian
-20.1530697601	-11.1638483975	Asian
-15.5467334876	-8.74566648875	Asian
-18.7759469183	-10.0048819195	Asian
-19.3604266649	-11.1281295488	Asian
-19.4374515387	-11.2624966327	Asian
-17.1532819941	-12.4747229165	Asian
-17.7016181361	-9.89818721618	Asian
10.1506229127	11.6514225733	Asian
6.10994849545	11.4076374557	European
-18.2094551916	-15.1075797435	Asian
-13.0094773133	-5.22042325564	Asian
-14.8914571468	-8.91693243572	Asian
-15.5944997243	-8.73864289208	Asian
-15.4064255765	-0.918271167943	Asian
10.2878230922	11.7362561017	Asian
-1.11311183762	2.42746446307	Asian
-13.7297554956	-10.3126408874	Asian
-15.9790427175	-2.59234966082	Asian
-16.0339522658	-2.60032726587	Asian
-10.8744704379	-9.47289243703	Asian
-17.5604238223	-2.22384455494	Asian
-16.3304611598	-3.8256850674	Asian
19.9783212473	2.32810601555	Asian
-14.7061492139	-11.5168084617	Asian
-16.5653354124	-3.92495906321	Asian
12.0893201569	5.09119192392	Asian
1.83668998799	-16.1603768385	European
1.97837640169	-14.9840098033	European
1.83317457736	-16.2711366776	European
2.70055273636	-6.04658153513	European
6.27281599281	-6.37446573801	European
1.73108486194	-15.1151419666	European
2.78114294896	-14.4010381075	European
